time,nf,ns,fs,fa,fcw,faw,fsew,fshw,fdw,ffw,ss,sa,ssw,sfw,ssize
0,300,10,0.9965863,10.36527,1.999718,2.000016,3.999801,10.00063,10.00008,4.999919,1.991277,24.39612,1.998775,1.00227,4.924391
0.01,300,10,0.9965863,10.36527,1.999718,2.000016,3.999801,10.00063,10.00008,4.999919,1.991277,24.39612,1.998775,1.00227,4.924391
0.02,300,10,0.9965863,10.36527,1.999718,2.000016,3.999801,10.00063,10.00008,4.999919,1.991277,24.39612,1.998775,1.00227,4.924391
0.03,300,10,0.9965863,10.36527,1.999718,2.000016,3.999801,10.00063,10.00008,4.999919,1.991277,24.39612,1.998775,1.00227,4.924391
0.04,300,10,0.9965863,10.36527,1.999718,2.000016,3.999801,10.00063,10.00008,4.999919,1.991277,24.39612,1.998775,1.00227,4.924391
0.05,300,10,0.9965863,10.36527,1.999718,2.000016,3.999801,10.00063,10.00008,4.999919,1.991277,24.39612,1.998775,1.00227,4.924391
0.06,300,10,0.9965863,10.36527,1.999718,2.000016,3.999801,10.00063,10.00008,4.999919,1.991277,24.39612,1.998775,1.00227,4.924391
0.07,300,10,0.9965863,10.36527,1.999718,2.000016,3.999801,10.00063,10.00008,4.999919,1.991277,24.39612,1.998775,1.00227,4.924391
0.08,300,10,0.9965863,10.36527,1.999718,2.000016,3.999801,10.00063,10.00008,4.999919,1.991277,24.39612,1.998775,1.00227,4.924391
0.09,299,10,0.9967343,10.36449,1.999711,2.000027,3.999822,10.00059,10.00009,4.999932,1.991277,24.39612,1.998775,1.00227,4.924391
0.10,299,10,0.9967343,10.36449,1.999711,2.000027,3.999822,10.00059,10.00009,4.999932,1.991277,24.39612,1.998775,1.00227,4.924391
0.11,299,10,0.9967343,10.36449,1.999711,2.000027,3.999822,10.00059,10.00009,4.999932,1.991277,24.39612,1.998775,1.00227,4.924391
0.12,299,10,0.9967343,10.36449,1.999711,2.000027,3.999822,10.00059,10.00009,4.999932,1.991277,24.39612,1.998775,1.00227,4.924391
0.13,299,10,0.9967343,10.36449,1.999711,2.000027,3.999822,10.00059,10.00009,4.999932,1.991277,24.39612,1.998775,1.00227,4.924391
0.14,299,10,0.9967343,10.36449,1.999711,2.000027,3.999822,10.00059,10.00009,4.999932,1.991277,24.39612,1.998775,1.00227,4.924391
0.15,299,10,0.9967343,10.36449,1.999711,2.000027,3.999822,10.00059,10.00009,4.999932,1.991277,24.39612,1.998775,1.00227,4.924391
0.16,298,10,0.9966621,10.3602,1.999706,2.000095,3.999812,10.00055,10.00008,4.999927,1.991277,24.39612,1.998775,1.00227,4.924391
0.17,298,10,0.9966621,10.3602,1.999706,2.000095,3.999812,10.00055,10.00008,4.999927,1.991277,24.39612,1.998775,1.00227,4.924391
0.18,298,10,0.9966621,10.3602,1.999706,2.000095,3.999812,10.00055,10.00008,4.999927,1.991277,24.39612,1.998775,1.00227,4.924391
