time, nf, ns, fs, ss, fa, sa
0, 100, 2, 1, 1.25, 30, 15
0.01, 100, 2, 1, 1.25, 30, 15
0.02, 100, 2, 1, 1.25, 30, 15
0.03, 100, 2, 1, 1.25, 30, 15
0.04, 100, 2, 1, 1.25, 30, 15
0.05, 100, 2, 1, 1.25, 30, 15
0.06, 100, 2, 1, 1.25, 30, 15
0.07, 100, 2, 1, 1.25, 30, 15
0.08, 100, 2, 1, 1.25, 30, 15
0.09, 100, 2, 1, 1.25, 30, 15
0.10, 100, 2, 1, 1.25, 30, 15
0.11, 100, 2, 1, 1.25, 30, 15
0.12, 100, 2, 1, 1.25, 30, 15
0.13, 100, 2, 1, 1.25, 30, 15
0.14, 100, 2, 1, 1.25, 30, 15
0.15, 100, 2, 1, 1.25, 30, 15
0.16, 100, 2, 1, 1.25, 30, 15
0.17, 100, 2, 1, 1.25, 30, 15
0.18, 100, 2, 1, 1.25, 30, 15
0.19, 100, 2, 1, 1.25, 30, 15
0.20, 100, 2, 1, 1.25, 30, 15
0.21, 100, 2, 1, 1.25, 30, 15
0.22, 100, 2, 1, 1.25, 30, 15
0.23, 100, 2, 1, 1.25, 30, 15
0.24, 100, 2, 1, 1.25, 30, 15
0.25, 100, 2, 1, 1.25, 30, 15
0.26, 100, 2, 1, 1.25, 30, 15
0.27, 100, 2, 1, 1.25, 30, 15
0.28, 100, 2, 1, 1.25, 30, 15
0.29, 100, 2, 1, 1.25, 30, 15
0.30, 100, 2, 1, 1.25, 30, 15
0.31, 100, 2, 1, 1.25, 30, 15
0.32, 100, 2, 1, 1.25, 30, 15
0.33, 100, 2, 1, 1.25, 30, 15
0.34, 100, 2, 1, 1.25, 30, 15
0.35, 100, 2, 1, 1.25, 30, 15
0.36, 100, 2, 1, 1.25, 30, 15
0.37, 100, 2, 1, 1.25, 30, 15
0.38, 100, 2, 1, 1.25, 30, 15
0.39, 100, 2, 1, 1.25, 30, 15
0.40, 100, 2, 1, 1.25, 30, 15
0.41, 100, 2, 1, 1.25, 30, 15
0.42, 100, 2, 1, 1.25, 30, 15
0.43, 100, 2, 1, 1.25, 30, 15
0.44, 100, 2, 1, 1.25, 30, 15
0.45, 100, 2, 1, 1.25, 30, 15
0.46, 100, 2, 1, 1.25, 30, 15
0.47, 100, 2, 1, 1.25, 30, 15
0.48, 100, 2, 1, 1.25, 30, 15
0.49, 100, 2, 1, 1.25, 30, 15
0.50, 100, 2, 1, 1.25, 30, 15
0.51, 100, 2, 1, 1.25, 30, 15
0.52, 100, 2, 1, 1.25, 30, 15
0.53, 100, 2, 1, 1.25, 30, 15
0.54, 100, 2, 1, 1.25, 30, 15
0.55, 100, 2, 1, 1.25, 30, 15
0.56, 100, 2, 1, 1.25, 30, 15
0.57, 100, 2, 1, 1.25, 30, 15
0.58, 100, 2, 1, 1.25, 30, 15
0.59, 100, 2, 1, 1.25, 30, 15
0.60, 99, 2, 1, 1.25, 30, 15
0.61, 99, 2, 1, 1.25, 30, 15
0.62, 99, 2, 1, 1.25, 30, 15
0.63, 99, 2, 1, 1.25, 30, 15
0.64, 99, 2, 1, 1.25, 30, 15
0.65, 99, 2, 1, 1.25, 30, 15
