time,nf,ns,fs,fa,fcw,faw,fsew,fshw,fdw,ffw,ss,sa,ssw,sfw,ssize
0,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.01,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.02,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.03,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.04,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.05,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.06,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.07,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.08,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.09,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.10,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.11,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.12,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.13,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.14,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.15,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.16,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.17,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.18,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.19,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.20,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.21,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.22,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.23,1000,10,1.003431,9.856096,2.000108,2.000018,4.000252,9.999551,9.99999,5.000067,1.819366,25.43101,2.001892,1.004584,5.138918
0.24,999,10,1.003497,9.85951,2.000118,2.00002,4.000258,9.999562,9.99999,5.000072,1.819366,25.43101,2.001892,1.004584,5.138918
0.25,999,10,1.003497,9.85951,2.000118,2.00002,4.000258,9.999562,9.99999,5.000072,1.819366,25.43101,2.001892,1.004584,5.138918
0.26,999,10,1.003497,9.85951,2.000118,2.00002,4.000258,9.999562,9.99999,5.000072,1.819366,25.43101,2.001892,1.004584,5.138918
0.27,998,10,1.00338,9.860697,2.000098,2.000021,4.000269,9.999569,10.00001,5.000078,1.819366,25.43101,2.001892,1.004584,5.138918
0.28,998,10,1.00338,9.860697,2.000098,2.000021,4.000269,9.999569,10.00001,5.000078,1.819366,25.43101,2.001892,1.004584,5.138918
0.29,997,10,1.003412,9.861887,2.000091,2.000012,4.000259,9.999557,10.00001,5.000064,1.819366,25.43101,2.001892,1.004584,5.138918
0.30,997,10,1.003412,9.861887,2.000091,2.000012,4.000259,9.999557,10.00001,5.000064,1.819366,25.43101,2.001892,1.004584,5.138918
0.31,997,10,1.003412,9.861887,2.000091,2.000012,4.000259,9.999557,10.00001,5.000064,1.819366,25.43101,2.001892,1.004584,5.138918
0.32,997,10,1.003412,9.861887,2.000091,2.000012,4.000259,9.999557,10.00001,5.000064,1.819366,25.43101,2.001892,1.004584,5.138918
0.33,997,10,1.003412,9.861887,2.000091,2.000012,4.000259,9.999557,10.00001,5.000064,1.819366,25.43101,2.001892,1.004584,5.138918
0.34,998,10,1.003498,9.864882,2.00008,2.000031,4.000237,9.999565,10.00002,5.000059,1.819366,25.43101,2.001892,1.004584,5.138918
0.35,998,10,1.003498,9.864882,2.00008,2.000031,4.000237,9.999565,10.00002,5.000059,1.819366,25.43101,2.001892,1.004584,5.138918
0.36,997,10,1.003584,9.868806,2.000071,2.000023,4.000229,9.999562,9.999995,5.000068,1.819366,25.43101,2.001892,1.004584,5.138918
0.37,997,10,1.003584,9.868806,2.000071,2.000023,4.000229,9.999562,9.999995,5.000068,1.819366,25.43101,2.001892,1.004584,5.138918
0.38,996,10,1.003639,9.871252,2.000065,2.000033,4.000215,9.999553,10,5.000075,1.819366,25.43101,2.001892,1.004584,5.138918
0.39,996,10,1.003639,9.871252,2.000065,2.000033,4.000215,9.999553,10,5.000075,1.819366,25.43101,2.001892,1.004584,5.138918
0.40,996,10,1.003639,9.871252,2.000065,2.000033,4.000215,9.999553,10,5.000075,1.819366,25.43101,2.001892,1.004584,5.138918
